niche,sub_service,specific_service,phrase,urgency,outcome,paid
appliance repair,refrigerator,ice maker repair,it's not filling up with ice anymore,routine,no_sale,0
appliance repair,refrigerator,ice maker repair,we'd be able to make it today here?,urgent,callback,1
appliance repair,refrigerator,ice maker repair,just it is not dispensing outside,routine,booked,0
appliance repair,refrigerator,ice maker repair,You guys work on ICE machines.,urgent,callback,1
appliance repair,refrigerator,ice maker repair,Do you serve Canyon Country?,unknown,no_sale,1
appliance repair,refrigerator,ice maker repair,it's not making ice anymore,routine,booked,1
appliance repair,refrigerator,ice maker repair,keep opening and closing,routine,callback,0
appliance repair,refrigerator,ice maker repair,Speak to a human.,routine,unknown,0
appliance repair,refrigerator,refrigerator leaking water,once a day I'm having to wipe water from where the refrigerator is leaked,routine,booked,1
appliance repair,refrigerator,refrigerator leaking water,Well it leaks and it's like got a lot of frost in the freezer.,urgent,booked,0
appliance repair,refrigerator,refrigerator leaking water,"We have an LG refrigerator, and I think there might be a leak",urgent,booked,1
appliance repair,refrigerator,refrigerator leaking water,Samsung refrigerator that is leaking onto the floor,urgent,booked,1
appliance repair,refrigerator,refrigerator leaking water,I've got a refrigerator that's leaking water.,urgent,no_sale,1
appliance repair,refrigerator,refrigerator leaking water,I'm worried it's going to damage the floor.,urgent,no_sale,1
appliance repair,refrigerator,refrigerator leaking water,I have a fridge that's leaking water.,urgent,booked,1
appliance repair,refrigerator,refrigerator leaking water,water leaks underneath the fridge.,urgent,booked,1
appliance repair,refrigerator,refrigerator leaking water,Refrigerator leak,routine,no_sale,0
appliance repair,refrigerator,refrigerator leaking water,I have a leak,routine,booked,1
appliance repair,refrigerator,refrigerator leaking water,"All of the drawers are filled with water in the refrigerator part, and then the freezer is all frozen over",urgent,booked,1
appliance repair,refrigerator,refrigerator leaking water,it might have to do with the ice maker or it's coming from the freezer,urgent,booked,1
appliance repair,refrigerator,refrigerator leaking water,"can you come see, somebody come to see my things?",routine,quoted,1
appliance repair,refrigerator,refrigerator leaking water,my icebox has got a lot of trust on it,routine,booked,1
appliance repair,refrigerator,refrigerator leaking water,My refrigerator being water collecting,routine,quoted,1
appliance repair,refrigerator,refrigerator leaking water,my dishwasher kind of don't work right,routine,quoted,1
appliance repair,refrigerator,refrigerator leaking water,I think it's coming from the freezer.,urgent,booked,1
appliance repair,refrigerator,refrigerator leaking water,"causing, you know, huge puddles",urgent,booked,1
appliance repair,refrigerator,refrigerator leaking water,I want to get it fixed.,urgent,no_sale,1
appliance repair,refrigerator,refrigerator leaking water,Whirlpool refrigerator,urgent,booked,0
appliance repair,refrigerator,refrigerator leak repair,once a day I'm having to wipe water from where the refrigerator is leaked,routine,booked,1
appliance repair,refrigerator,refrigerator leak repair,Samsung refrigerator that is leaking onto the floor,urgent,booked,1
appliance repair,refrigerator,refrigerator leak repair,I've got a refrigerator that's leaking water.,urgent,no_sale,1
appliance repair,refrigerator,refrigerator leak repair,I'm worried it's going to damage the floor.,urgent,no_sale,1
appliance repair,refrigerator,refrigerator leak repair,I have a fridge that's leaking water.,urgent,booked,1
appliance repair,refrigerator,refrigerator leak repair,water leaks underneath the fridge.,urgent,booked,1
appliance repair,refrigerator,refrigerator leak repair,I have a leak,routine,booked,1
appliance repair,refrigerator,refrigerator leak repair,it might have to do with the ice maker or it's coming from the freezer,urgent,booked,1
appliance repair,refrigerator,refrigerator leak repair,my icebox has got a lot of trust on it,routine,booked,1
appliance repair,refrigerator,refrigerator leak repair,I think it's coming from the freezer.,urgent,booked,1
appliance repair,refrigerator,refrigerator leak repair,"causing, you know, huge puddles",urgent,booked,1
appliance repair,refrigerator,refrigerator leak repair,I want to get it fixed.,urgent,no_sale,1
appliance repair,refrigerator,freezer not freezing,I'm looking for a technician or someone that can come to check my refrigerator,urgent,booked,1
appliance repair,refrigerator,freezer not freezing,the freezer compartment is not working very well,urgent,booked,1
appliance repair,refrigerator,freezer not freezing,I have a problem with my refrigerator.,routine,quoted,0
appliance repair,refrigerator,freezer not freezing,Do you do refrigerator repairs?,routine,quoted,1
appliance repair,refrigerator,freezer not freezing,I have a refrigerator problem,routine,quoted,1
appliance repair,refrigerator,freezer not freezing,The ice cream is melting up on the top part of the freezer,urgent,booked,1
appliance repair,refrigerator,freezer not freezing,I started making ice on the side of the freezer.,routine,quoted,0
appliance repair,refrigerator,freezer not freezing,I'd really like to keep this refrigerator going,urgent,booked,1
appliance repair,refrigerator,freezer not freezing,my freezer there is not cooling like it should,routine,booked,1
appliance repair,refrigerator,freezer not freezing,The compressor's not kicking on.,routine,quoted,0
appliance repair,refrigerator,freezer not freezing,my freezer is not freezing,urgent,booked,1
appliance repair,refrigerator,refrigerator and dishwasher repair,I have an LG refrigerator and an LG dishwasher that need service.,routine,no_sale,0
appliance repair,refrigerator,refrigerator and dishwasher repair,I need both of them done at the same time.,routine,no_sale,0
appliance repair,refrigerator,refrigerator and dishwasher repair,"can you come see, somebody come to see my things?",routine,quoted,1
appliance repair,refrigerator,refrigerator and dishwasher repair,My refrigerator being water collecting,routine,quoted,1
appliance repair,refrigerator,refrigerator and dishwasher repair,my dishwasher kind of don't work right,routine,quoted,1
appliance repair,refrigerator,refrigerator fan motor repair (lg),"I have an LG, it's a French door with a freezer at the bottom",routine,callback,0
appliance repair,refrigerator,refrigerator fan motor repair (lg),my fan motor went out. It's in the freezer part,routine,callback,0
appliance repair,refrigerator,refrigerator fan motor repair (lg),the fan went out in their refrigerators,routine,callback,1
appliance repair,refrigerator,refrigerator fan motor repair (lg),My parents' fan refrigerator went out,routine,callback,1
appliance repair,refrigerator,refrigerator frost repair,I got an LG refrigerator that the freezer's got frost between the freezer bin and the bottom of the frame.,urgent,booked,1
appliance repair,refrigerator,refrigerator frost repair,When could I get one here? The soonest.,urgent,booked,1
appliance repair,refrigerator,refrigerator frost repair,Any idea what's causing that?,urgent,booked,1
appliance repair,refrigerator,refrigerator and stove repair,I have my refrigerator and my stove that I just need to see what's wrong with it.,routine,booked,1
appliance repair,refrigerator,refrigerator and stove repair,The lights are still on but it looks like there water coming out of the bottom part,routine,booked,1
appliance repair,refrigerator,refrigerator and stove repair,"The stove is just not, I can't get it to turn on. It just keeps beeping.",routine,booked,1
appliance repair,refrigerator,refrigerator mold / cleaning,remove the mold from the fridge,routine,no_sale,0
appliance repair,refrigerator,refrigerator mold / cleaning,do you guys clean out the refrigerator,routine,no_sale,0
appliance repair,refrigerator,refrigerator mold / cleaning,there's mold in the refrigerator,routine,no_sale,0
appliance repair,refrigerator,mini fridge repair (frigidaire),I found the name brand of the fridge,routine,booked,0
appliance repair,refrigerator,mini fridge repair (frigidaire),my daughter is going to drop it off,routine,booked,0
appliance repair,refrigerator,mini fridge repair (frigidaire),It's Frigidaire,routine,booked,0
appliance repair,refrigerator,ice machine repair,we'd be able to make it today here?,urgent,callback,1
appliance repair,refrigerator,ice machine repair,You guys work on ICE machines.,urgent,callback,1
appliance repair,refrigerator,refrigerator repair (follow-up on tech),I was wondering if he's going to come today or if he's going to come back Monday,routine,callback,0
appliance repair,refrigerator,refrigerator repair (follow-up on tech),I just had a technician come over here and look at my fridge,routine,callback,0
appliance repair,refrigerator,refrigerator & microwave repair,I'm looking for someone to check a refrigerator and probably a microwave for me,routine,booked,1
appliance repair,refrigerator,refrigerator & microwave repair,with the fridge it's cooling but it's probably not freezing,routine,booked,1
appliance repair,refrigerator,refrigerator repair (loud noise),"I got a refrigerator, made some noise, huge noise",routine,booked,1
appliance repair,refrigerator,refrigerator repair (loud noise),Can you come up and take a look or fix it?,routine,booked,1
appliance repair,refrigerator,outdoor refrigerator temperature issue,"it went to freezing at 27 degrees, and I can't change the temperature on it",routine,no_sale,0
appliance repair,refrigerator,outdoor refrigerator temperature issue,"I have an outdoor refrigerator in Fullshire, Texas",routine,no_sale,0
appliance repair,refrigerator,"refrigerator repair (sears, freezer drawer won't close)","we have a Sears refrigerator and the freezer is at the bottom... that door doesn't close, it's a drawer-type freezer",routine,no_sale,1
appliance repair,refrigerator,"refrigerator repair (sears, freezer drawer won't close)",We want you to fix it or look at it at least,routine,no_sale,1
appliance repair,refrigerator,refrigerator repair (thermostat),Yo tengo un problema de un refrigerador,urgent,no_sale,1
appliance repair,refrigerator,refrigerator repair (thermostat),No prende el termostato,urgent,no_sale,1
appliance repair,refrigerator,commercial refrigerator repair,"it's a commercial refrigerator, a Hosikashi double door commercial refrigerator",urgent,booked,1
appliance repair,refrigerator,commercial refrigerator repair,it's throwing an error code for high condenser pressure,urgent,booked,1
appliance repair,refrigerator,mini fridge repair (burnt wiring),it's got some electrical wires burnt on the back of it,routine,callback,1
appliance repair,refrigerator,mini fridge repair (burnt wiring),she has a mini fridge,routine,callback,1
appliance repair,refrigerator,refrigerator repair (runs constantly / over-freezing),I got a refrigerator that continuously runs,routine,no_sale,1
appliance repair,refrigerator,refrigerator repair (runs constantly / over-freezing),it's just freezing everything in the refrigerator,routine,no_sale,1
appliance repair,refrigerator,refrigerator temperature alarm (freezer),it's making a beeping noise that says temperature has risen,routine,booked,1
appliance repair,refrigerator,refrigerator temperature alarm (freezer),I was calling to get a quote for a service tech to come out and check a refrigerator,routine,booked,1
appliance repair,refrigerator,refrigerator/cooler repair,You repair the refrigerator?,unknown,unknown,0
appliance repair,refrigerator,refrigerator/cooler repair,"Are you service for the cooler, right?",unknown,unknown,0
appliance repair,refrigerator,refrigerator door repair,Our refrigerator door fell off,urgent,no_sale,1
appliance repair,refrigerator,refrigerator door repair,somebody would be able to fix it today,urgent,no_sale,1
appliance repair,refrigerator,refrigerator repair (samsung),I was wondering if I can have someone come in to get our refrigerator today?,urgent,booked,1
appliance repair,refrigerator,refrigerator repair (samsung),It's a Samsung refrigerator.,urgent,booked,1
appliance repair,refrigerator,refrigerator repair (same-day),you guys doing or doing a same day like you know emergency repair,urgent,no_sale,1
appliance repair,refrigerator,refrigerator repair (same-day),refrigerator,urgent,no_sale,1
appliance repair,refrigerator,refrigerator repair (appointment confirmation),to go to fix my refrigerator,routine,booked,0
appliance repair,refrigerator,refrigerator repair (misroute confusion),I'm having problems with my refrigerator. I was wondering if I can have somebody come in and look at my refrigerator,routine,booked,0
appliance repair,refrigerator,refrigerator error code (side-by-side),I'm calling about my refrigerator. It's showing off a code,routine,booked,1
appliance repair,refrigerator,refrigerator compressor repair,I need to get the compressor fixed on my refrigerator,routine,callback,1
appliance repair,washer,washer repair,i'm looking to get my whirlpool front end loader looked at i think i've got a pump issue or it's plugged up with cat hair and dog hair,routine,booked,1
appliance repair,washer,washer repair,They're having issues with their stove. The garbage disposal needs to be looked at and fixed as well as the dishwasher,urgent,booked,1
appliance repair,washer,washer repair,looking for an appliance person that could come over and help my father look at his dishwasher,routine,booked,1
appliance repair,washer,washer repair,How much would it be to replace a rubber seal on a Whirlpool Duet washing machine?,routine,no_sale,0
appliance repair,washer,washer repair,"I'm having an issue with, well, two different dishwashers and a garbage disposal.",routine,quoted,1
appliance repair,washer,washer repair,I came out to my parents' home yesterday morning to repair the washing machine,routine,callback,1
appliance repair,washer,washer repair,"I have a GE watcher, and it's making this grinding noise, but it's not washing",routine,booked,0
appliance repair,washer,washer repair,I'm having issues with a washer. It's showing AC6 as like an error code,routine,booked,1
appliance repair,washer,washer repair,I wanted to get a quote on getting a front load washer gasket replaced,routine,callback,0
appliance repair,washer,washer repair,"I have an LG washing machine, and I think I need to get it serviced",routine,booked,1
appliance repair,washer,washer repair,I have an LG refrigerator and an LG dishwasher that need service.,routine,no_sale,0
appliance repair,washer,washer repair,I need somebody to check my washer. It's not working properly,routine,booked,1
appliance repair,washer,washer repair,"the water but the water is running, but it's not turning",routine,callback,1
appliance repair,washer,washer repair,"I have a machine to clean it up, but it doesn't work",routine,callback,1
appliance repair,washer,washer repair,I need someone to take a look at this thing today,urgent,booked,0
appliance repair,washer,washer repair,the pedestal washer door seems to have broken,urgent,booked,1
appliance repair,washer,washer repair,I need both of them done at the same time.,routine,no_sale,0
appliance repair,washer,washer repair,I need some help with my washing machine.,routine,booked,1
appliance repair,washer,washer repair,I think my dryer vent might need cleaning,routine,booked,1
appliance repair,washer,washer repair,It appears the pump is clogged or broken,routine,booked,1
appliance repair,washer,washer repair,there's like a musty smell to my clothes,routine,callback,1
appliance repair,washer,washer repair,i have two appliances that i need fixed,urgent,booked,1
appliance repair,washer,washer repair,I believe I have a sensor board problem,routine,quoted,1
appliance repair,washer,washer repair,I need help with my washing machine.,routine,no_sale,0
appliance repair,washer,washer repair,I need an appliance repair company.,routine,no_sale,1
appliance repair,washer,washer repair,the oven gas burner isn't coming on,routine,callback,1
appliance repair,washer,washer repair,I need to schedule a washer repair,routine,booked,1
appliance repair,washer,washer repair,It just doesn't want to start up.,routine,callback,1
appliance repair,washer,washer repair,do you do washing machine repair?,urgent,quoted,1
appliance repair,washer,washer repair,my washing machine is not working,urgent,quoted,1
appliance repair,washer,washer repair,we just need the labor basically,routine,no_sale,0
appliance repair,washer,washer repair,do you guys repair dishwashers?,routine,booked,1
appliance repair,washer,washer repair,Is it Connect Appliance Repair?,unknown,unknown,1
appliance repair,washer,washer repair,fix some things that are broken,urgent,booked,1
appliance repair,washer,washer repair,i think it's a drain line clog,urgent,booked,0
appliance repair,washer,washer repair,I'm looking for a dishwasher,unknown,unknown,1
appliance repair,washer,washer repair,my clothes smell very sour,routine,booked,1
appliance repair,washer,washer repair,The dryer needs a belt.,urgent,booked,1
appliance repair,washer,washer repair,it's not working right,routine,booked,1
appliance repair,washer,washer repair,my closet is still wet,routine,booked,0
appliance repair,washer,washer repair,it's just not working,routine,booked,1
appliance repair,washer,washer repair,it won't spin,routine,booked,1
appliance repair,washer,washer repair,Washer repair,routine,callback,0
appliance repair,washer,washer repair,"I just wanted to see, well, have a conversation with you and see what you would tell me in terms of quoting and scheduling and all of that information.",routine,quoted,1
appliance repair,washer,washer repair,"It's got a Maytag washer that pretty much ever since we bought the thing, it never balances it out. It always shakes like crazy in the spin cycle",routine,no_sale,0
appliance repair,washer,washer repair,"I dropped my dish rag, my rag between the drum and the wall of the washing machine, and I cannot get it out.",routine,booked,1
appliance repair,washer,washer repair,"I have a washing machine which stopped working over the weekend. When I hit the start button, it hums",routine,booked,1
appliance repair,washer,washer repair,How does your visit work? Like do you charge for the visit an estimate or how do you charge?,routine,no_sale,1
appliance repair,washer,washer repair,I was calling to get a washing machine looked at and see how much you charge to come out,routine,no_sale,0
appliance repair,washer,washer repair,I have a question about appliances and new hoses versus existing hoses.,routine,no_sale,1
appliance repair,washer,washer repair,why would I want to give up my stainless steel hoses for rubber hoses?,routine,no_sale,1
appliance repair,washer,washer repair,What do you all charge for diagnostics on a Frigidaire Max 4 washer?,urgent,booked,1
appliance repair,washer,washer repair,"there is some stuff in there, and I don't know how to get it out",urgent,booked,1
appliance repair,washer,washer repair,what do you guys charge to have someone come take a look at it,routine,no_sale,1
appliance repair,washer,washer repair,tell him the symptoms of what is going on with my dishwasher,routine,callback,1
appliance repair,washer,washer repair,"I have a GE front loader washer, and it keeps saying door",routine,booked,1
appliance repair,washer,washer repair,I have a washing machine that refuses to stop knocking,routine,callback,0
appliance repair,washer,washer repair,I haven't been able to do laundry for about a week now,urgent,booked,0
appliance repair,washer,washer repair,"an appliance service, please, with a washing machine",urgent,quoted,1
appliance repair,washer,washer repair,washing machine that has water standing in the drum,urgent,booked,0
appliance repair,washer,washer repair,I wanted to see if there's someone available today,urgent,no_sale,0
appliance repair,washer,washer repair,"can you come see, somebody come to see my things?",routine,quoted,1
appliance repair,washer,washer repair,"I have a Whirlpool Cabrio washer, top-load washer",routine,booked,1
appliance repair,washer,washer repair,I have a Whirlpool front-loading washing machine,urgent,booked,1
appliance repair,washer,washer repair,"No, I live here in Hunterwood, in the code 77049",routine,callback,1
appliance repair,washer,washer repair,no matter how many times I've tried leveling it,routine,callback,0
appliance repair,washer,washer repair,whether you fix GE top-loading washing machines,routine,quoted,1
appliance repair,washer,washer repair,I am calling about my washer-dryer combo unit,urgent,no_sale,0
appliance repair,washer,washer repair,do you guys have any appointments for today?,urgent,quoted,1
appliance repair,washer,washer repair,"I live in Justice, and I was just inquiring.",routine,unknown,1
appliance repair,washer,washer repair,my watcher machine stopped working properly,routine,booked,0
appliance repair,washer,washer repair,get someone to service my washing machine,routine,booked,1
appliance repair,washer,washer repair,I have a washing machine that's acting up,urgent,booked,0
appliance repair,washer,washer repair,Do y'all have a service fee to come out?,routine,no_sale,1
appliance repair,washer,washer repair,I've got a LG washing machine at my home,urgent,booked,1
appliance repair,washer,washer repair,"Do you all pick washing machines, Paul?",urgent,quoted,1
appliance repair,washer,washer repair,Right now it's showing an error code IE,routine,booked,1
appliance repair,washer,washer repair,My refrigerator being water collecting,routine,quoted,1
appliance repair,washer,washer repair,my dishwasher kind of don't work right,routine,quoted,1
appliance repair,washer,washer repair,The washer water is not coming out.,urgent,booked,1
appliance repair,washer,washer repair,it's not letting it start the wash.,routine,booked,1
appliance repair,washer,washer repair,What do you have available after 1,routine,booked,1
appliance repair,washer,washer repair,a good cleaning and a maintenance,urgent,booked,1
appliance repair,washer,washer repair,my washer and dryer is acting up,routine,no_sale,1
appliance repair,washer,washer repair,I'm now getting this error code,urgent,booked,1
appliance repair,washer,washer repair,I was hoping to get it fixed,urgent,quoted,1
appliance repair,washer,washer repair,Do you do whirlpool washers?,routine,unknown,1
appliance repair,washer,washer repair,it's not operating properly,routine,quoted,1
appliance repair,washer,washer repair,"Yeah, I'll take the 2 to 5.",routine,booked,1
appliance repair,washer,washer repair,Do you all fix dishwashers?,routine,callback,1
appliance repair,washer,washer repair,I have a new washer coming,routine,no_sale,1
appliance repair,washer,washer repair,It's not draining properly,routine,booked,1
appliance repair,washer,washer repair,It's an LG washing machine,routine,booked,1
appliance repair,washer,washer repair,we already have the parts,routine,no_sale,0
appliance repair,washer,washer repair,I'm getting a code of F5,routine,booked,1
appliance repair,washer,washer repair,it's still not spinning,routine,callback,1
appliance repair,washer,washer repair,it's a washer not dryer,routine,callback,1
appliance repair,washer,washer repair,So do you do washers?,routine,no_sale,1
appliance repair,washer,washer repair,It's a Kenmore Elite.,routine,callback,1
appliance repair,washer,washer repair,It's an LG dishwasher,routine,booked,0
appliance repair,washer,washer repair,It's not spinning,routine,booked,0
appliance repair,washer,washer repair,"Oh, never mind.",routine,no_sale,1
appliance repair,washer,washer repair,Washer.,routine,no_sale,0
appliance repair,washer,washing machine repair,i'm looking to get my whirlpool front end loader looked at i think i've got a pump issue or it's plugged up with cat hair and dog hair,routine,booked,1
appliance repair,washer,washing machine repair,"My washing machine is giving me an area code 4C, and I need someone to come out and take a look at it",routine,no_sale,1
appliance repair,washer,washing machine repair,"It's leaking down the middle of the washing machine, like through the direct drive rotor thing.",routine,callback,1
appliance repair,washer,washing machine repair,"I have an LG washing machine, and I think I need to get it serviced",routine,booked,1
appliance repair,washer,washing machine repair,"I have a machine to clean it up, but it doesn't work",routine,callback,1
appliance repair,washer,washing machine repair,I need someone to take a look at this thing today,urgent,booked,0
appliance repair,washer,washing machine repair,the pedestal washer door seems to have broken,urgent,booked,1
appliance repair,washer,washing machine repair,I need a repair on a Bosch washing machine,routine,booked,1
appliance repair,washer,washing machine repair,I need some help with my washing machine.,routine,booked,1
appliance repair,washer,washing machine repair,I think my dryer vent might need cleaning,routine,booked,1
appliance repair,washer,washing machine repair,I believe I have a sensor board problem,routine,quoted,1
appliance repair,washer,washing machine repair,"My washer, for some reason, won't drain",routine,booked,1
appliance repair,washer,washing machine repair,Schedule a repair for washing machine,routine,booked,0
appliance repair,washer,washing machine repair,I need help with my washing machine.,routine,no_sale,0
appliance repair,washer,washing machine repair,do you do washing machine repair?,urgent,quoted,1
appliance repair,washer,washing machine repair,my washing machine is not working,urgent,quoted,1
appliance repair,washer,washing machine repair,I'm looking for a washer repair,routine,booked,1
appliance repair,washer,washing machine repair,i think it's a drain line clog,urgent,booked,0
appliance repair,washer,washing machine repair,my clothes smell very sour,routine,booked,1
appliance repair,washer,washing machine repair,my closet is still wet,routine,booked,0
appliance repair,washer,washing machine repair,Leaking water,routine,booked,1
appliance repair,washer,washing machine repair,"It's got a Maytag washer that pretty much ever since we bought the thing, it never balances it out. It always shakes like crazy in the spin cycle",routine,no_sale,0
appliance repair,washer,washing machine repair,"I dropped my dish rag, my rag between the drum and the wall of the washing machine, and I cannot get it out.",routine,booked,1
appliance repair,washer,washing machine repair,"I have a washing machine which stopped working over the weekend. When I hit the start button, it hums",routine,booked,1
appliance repair,washer,washing machine repair,I was calling to get a washing machine looked at and see how much you charge to come out,routine,no_sale,0
appliance repair,washer,washing machine repair,I'd like to schedule an appointment for a washing machine that is not draining.,routine,no_sale,1
appliance repair,washer,washing machine repair,I was just wanting to make an appointment for it to be serviced.,routine,no_sale,1
appliance repair,washer,washing machine repair,what do you guys charge to have someone come take a look at it,routine,no_sale,1
appliance repair,washer,washing machine repair,somebody can come out and take a look at my washing machine,routine,callback,1
appliance repair,washer,washing machine repair,I have a washing machine that refuses to stop knocking,routine,callback,0
appliance repair,washer,washing machine repair,I haven't been able to do laundry for about a week now,urgent,booked,0
appliance repair,washer,washing machine repair,"an appliance service, please, with a washing machine",urgent,quoted,1
appliance repair,washer,washing machine repair,washing machine that has water standing in the drum,urgent,booked,0
appliance repair,washer,washing machine repair,"No, I live here in Hunterwood, in the code 77049",routine,callback,1
appliance repair,washer,washing machine repair,no matter how many times I've tried leveling it,routine,callback,0
appliance repair,washer,washing machine repair,whether you fix GE top-loading washing machines,routine,quoted,1
appliance repair,washer,washing machine repair,"in the middle of the process, it'll get water",routine,booked,1
appliance repair,washer,washing machine repair,do you guys have any appointments for today?,urgent,quoted,1
appliance repair,washer,washing machine repair,my watcher machine stopped working properly,routine,booked,0
appliance repair,washer,washing machine repair,A washer. The agitator is no longer working,routine,quoted,1
appliance repair,washer,washing machine repair,I have a washing machine that's acting up,urgent,booked,0
appliance repair,washer,washing machine repair,get someone to service my washing machine,routine,booked,1
appliance repair,washer,washing machine repair,I've got a LG washing machine at my home,urgent,booked,1
appliance repair,washer,washing machine repair,"Do you all pick washing machines, Paul?",urgent,quoted,1
appliance repair,washer,washing machine repair,Right now it's showing an error code IE,routine,booked,1
appliance repair,washer,washing machine repair,it's not letting it start the wash.,routine,booked,1
appliance repair,washer,washing machine repair,I'm now getting this error code,urgent,booked,1
appliance repair,washer,washing machine repair,I was hoping to get it fixed,urgent,quoted,1
appliance repair,washer,washing machine repair,it's not operating properly,routine,quoted,1
appliance repair,washer,washing machine repair,It's not spinning,routine,booked,0
appliance repair,washer,washing machine repair,It's a Maytag.,routine,callback,1
appliance repair,washer,washing machine repair,Not draining,routine,booked,0
appliance repair,washer,washing machine repair,Washer.,routine,no_sale,0
appliance repair,washer,washer not draining,"My washing machine is giving me an area code 4C, and I need someone to come out and take a look at it",routine,no_sale,1
appliance repair,washer,washer not draining,"I have cleaned the filters, checked the impeller, and it still doesn't drain.",routine,booked,1
appliance repair,washer,washer not draining,I need somebody to take out the dishwasher so we can take a look at the leak,routine,callback,1
appliance repair,washer,washer not draining,I'm looking to see if I can get someone to come help me diagnose and fix it,routine,booked,1
appliance repair,washer,washer not draining,"I have a dishwasher, a Bosch, and I think the line is clogged",routine,booked,1
appliance repair,washer,washer not draining,arrange a repairman to look at a Bosch dishwasher,routine,booked,1
appliance repair,washer,washer not draining,I'm having some issues with my washing machine,routine,booked,1
appliance repair,washer,washer not draining,It appears the pump is clogged or broken,routine,booked,1
appliance repair,washer,washer not draining,"My washer, for some reason, won't drain",routine,booked,1
appliance repair,washer,washer not draining,there's a leak on the drain of my sink,routine,callback,1
appliance repair,washer,washer not draining,Schedule a repair for washing machine,routine,booked,0
appliance repair,washer,washer not draining,I need to schedule a washer repair,routine,booked,1
appliance repair,washer,washer not draining,I'm looking for a washer repair,routine,booked,1
appliance repair,washer,washer not draining,when the water won't drain out,routine,no_sale,1
appliance repair,washer,washer not draining,Do you repair washers?,routine,no_sale,1
appliance repair,washer,washer not draining,"I have a Samsung dishwasher, which is sort of like constantly in draining mode with the normal cycle light blinking",routine,booked,1
appliance repair,washer,washer not draining,I'd like to schedule an appointment for a washing machine that is not draining.,routine,no_sale,1
appliance repair,washer,washer not draining,"it just stopped spinning, and then it didn't drain all of the water",routine,booked,1
appliance repair,washer,washer not draining,I was just wanting to make an appointment for it to be serviced.,routine,no_sale,1
appliance repair,washer,washer not draining,the code fault it's given me is about the drain pump,routine,booked,1
appliance repair,washer,washer not draining,"in the middle of the process, it'll get water",routine,booked,1
appliance repair,washer,washer not draining,it gets a message code of E4 on it,routine,no_sale,1
appliance repair,washer,washer not draining,It's not draining properly,routine,booked,1
appliance repair,washer,washer not draining,it's a washer dryer combo,routine,booked,1
appliance repair,washer,washer not draining,It is not draining.,routine,booked,1
appliance repair,washer,washer not draining,It is a hot point,routine,booked,1
appliance repair,washer,washer not draining,Not draining,routine,booked,0
appliance repair,washer,washer leaking,the dishwasher does not leak does not do off any type of other issues than making a beeping sound and it's not working,routine,no_sale,0
appliance repair,washer,washer leaking,a window of 12 to 3 today to come by and look at an LG washer-dryer combo that's leaking from the bottom,routine,booked,1
appliance repair,washer,washer leaking,"It's leaking down the middle of the washing machine, like through the direct drive rotor thing.",routine,callback,1
appliance repair,washer,washer leaking,"We have a Hobart commercial dishwasher, and it is leaking out of the pressure relief drain",routine,booked,1
appliance repair,washer,washer leaking,I have a LG washer-dryer combo unit that is leaking from the middle of the bottom of it,routine,callback,0
appliance repair,washer,washer leaking,I have an algae wash tower and the washing machine is leaking.,routine,callback,1
appliance repair,washer,washer leaking,the washing machine is leaking from the bottom,routine,callback,1
appliance repair,washer,washer leaking,I need a repair on a Bosch washing machine,routine,booked,1
appliance repair,washer,washer leaking,there's a crack hose or something,routine,callback,1
appliance repair,washer,washer leaking,I have a dishwasher issue,routine,no_sale,0
appliance repair,washer,washer leaking,Leaking water,routine,booked,1
appliance repair,washer,washer leaking,somebody can come out and take a look at my washing machine,routine,callback,1
appliance repair,washer,washer leaking,I have an LG wash tower,routine,callback,1
appliance repair,washer,washer leaking,It's a stackable one.,routine,callback,1
appliance repair,washer,washer leaking,For about a week.,routine,callback,1
appliance repair,washer,washer leaking,It's a Maytag.,routine,callback,1
appliance repair,washer,washer and dryer repair,i have two appliances that i need fixed,urgent,booked,1
appliance repair,washer,washer and dryer repair,The dryer needs a belt.,urgent,booked,1
appliance repair,washer,washer and dryer repair,I wanted to see if there's someone available today,urgent,no_sale,0
appliance repair,washer,washer and dryer repair,I am calling about my washer-dryer combo unit,urgent,no_sale,0
appliance repair,washer,washer and dryer repair,Do y'all have a service fee to come out?,routine,no_sale,1
appliance repair,washer,washer and dryer repair,The washer water is not coming out.,urgent,booked,1
appliance repair,washer,washer and dryer repair,my washer and dryer is acting up,routine,no_sale,1
appliance repair,washer,washer and dryer repair,"Oh, never mind.",routine,no_sale,1
appliance repair,washer,washer repair (not spinning),I came out to my parents' home yesterday morning to repair the washing machine,routine,callback,1
appliance repair,washer,washer repair (not spinning),"the water but the water is running, but it's not turning",routine,callback,1
appliance repair,washer,washer repair (not spinning),it won't spin,routine,booked,1
appliance repair,washer,washer repair (not spinning),having trouble with it spinning,routine,booked,1
appliance repair,washer,washer repair (not spinning),the washing it is off balance,routine,booked,1
appliance repair,washer,washer repair (not spinning),It's an LG washing machine,routine,booked,1
appliance repair,washer,washer repair (not spinning),it's still not spinning,routine,callback,1
appliance repair,washer,washer repair (not spinning),it's a washer not dryer,routine,callback,1
appliance repair,washer,washer leak repair,I have an algae wash tower and the washing machine is leaking.,routine,callback,1
appliance repair,washer,washer leak repair,the washing machine is leaking from the bottom,routine,callback,1
appliance repair,washer,washer leak repair,there's a crack hose or something,routine,callback,1
appliance repair,washer,washer leak repair,I have an LG wash tower,routine,callback,1
